no_story,no_story_2,T1,no_span,no_bay,no_span_2,no_bay_2,DI_cladire
5,3,0.47213,5,3,1,2,0.10526
13,5,1.2508,2,4,1,2,1.028
4,2,0.60829,2,4,1,1,0.37688
7,4,0.62926,5,3,3,4,0.18998
13,10,1.1187,3,4,2,1,0.76816
6,2,0.66591,5,3,4,2,1.0065
11,5,1.7018,5,2,2,4,0.24839
8,2,0.62419,4,2,3,3,0.28029
6,2,0.65493,3,2,2,5,0.55045
9,2,0.74045,5,4,3,3,0.38885
5,2,0.61084,2,4,1,5,0.10614
8,3,0.83437,5,3,4,2,0.24997
4,2,0.57461,2,4,1,3,0.2491
13,10,1.5319,2,5,1,2,1.3116
4,2,0.70733,5,4,1,1,0.1682
11,6,1.1636,3,5,2,3,0.59416
9,4,0.95061,3,3,1,5,0.68586
5,2,0.7019,4,5,1,1,0.3944
5,2,0.59505,4,4,3,5,0.38797
5,2,0.60698,2,2,1,2,0.31277
8,3,0.85966,4,4,2,3,0.32388
5,2,0.5236,4,5,3,1,0.44396
5,2,0.68906,4,4,3,1,0.67027
7,5,0.75788,5,2,1,4,0.14336
8,2,0.79318,3,3,2,4,0.31692
8,6,0.92071,2,4,1,5,0.41368
13,4,1.3841,5,5,2,5,0.83982
9,3,0.66635,4,4,2,4,0.092301
6,4,0.51259,2,2,1,1,0.13482
8,3,0.86831,2,5,1,4,0.41469
11,7,0.88426,3,2,2,4,0.35304
4,2,0.53404,3,4,1,3,0.23591
7,3,0.62784,3,2,2,3,0.45195
13,2,1.3439,3,4,2,3,0.92023
10,5,0.90118,4,3,2,3,1.2294
10,7,0.83972,5,3,3,2,0.36287
6,4,0.68845,5,4,2,4,0.46016
12,4,1.6417,4,4,2,5,0.17315
8,6,1.012,5,4,2,4,0.53992
13,4,1.4802,4,2,3,5,0.45063
8,3,0.90771,5,2,1,4,0.27526
8,6,1.0285,3,4,1,1,0.48895
10,8,1.3447,4,5,3,5,1.0899
5,2,0.72575,2,3,1,1,1.7707
10,4,0.96799,5,3,4,1,0.21985
12,10,1.1717,4,4,2,5,1.2385
7,2,0.85489,5,2,2,5,0.15678
13,8,2.0303,2,3,1,4,0.64171
7,3,0.62097,2,4,1,3,0.10242
9,6,0.98775,5,3,3,2,0.30497
5,2,0.41326,5,3,2,4,0.085196
10,3,0.97117,3,2,2,4,0.1735
11,6,0.88356,4,5,3,4,0.44055
11,3,0.99229,3,5,2,1,0.4087
5,3,0.67661,3,2,1,3,0.16988
6,2,0.53756,5,3,2,2,0.50031
13,10,1.3027,3,4,2,3,0.50166
5,3,0.91888,5,4,2,3,0.29758
4,2,0.51864,2,4,1,2,0.18099
8,6,0.59362,2,5,1,5,0.70379
7,4,0.74695,5,3,2,1,0.13292
9,7,0.74484,2,4,1,1,0.091041
7,4,0.66009,4,5,3,4,0.30297
9,5,0.95862,3,2,2,1,0.2461
9,5,0.82633,2,3,1,3,0.039471
11,2,0.97797,2,2,1,5,0.58418
9,3,0.92967,4,2,1,1,0.048358
10,3,1.008,3,3,1,3,0.13382
10,8,0.8728,4,2,3,2,0.42463
9,7,0.83697,5,2,3,3,0.28734
11,5,1.0103,2,5,1,5,0.68372
11,4,1.185,2,2,1,2,1.2942
4,2,0.42164,2,3,1,4,0.18023
5,3,0.44458,5,3,2,4,0.28961
6,4,0.82055,2,2,1,4,0.093508
12,6,0.88689,2,3,1,5,0.59869
5,2,0.68212,3,3,1,3,0.37302
6,2,0.71142,3,3,1,4,1.5508
6,4,0.87957,4,4,1,1,0.29116
7,5,0.74143,2,5,1,1,1.5277
6,3,0.65033,4,5,2,2,0.42839
12,6,1.3479,2,2,1,1,1.1959
7,2,0.77712,4,5,1,3,0.42156
6,2,0.72455,4,2,3,1,0.34569
8,6,0.84814,5,5,3,1,0.73195
12,7,0.93963,5,2,2,2,0.62156
13,7,0.96945,3,2,2,1,0.75962
9,2,0.79547,5,4,1,1,1.1831
12,4,1.7204,2,5,1,2,0.45859
8,3,0.85669,3,4,1,5,0.52855
12,8,1.1137,2,4,1,3,0.5387
6,3,0.43149,5,4,4,1,0.22551
8,5,0.777,5,4,3,2,0.28174
6,4,0.74598,4,5,2,4,0.139
10,7,1.0184,2,3,1,2,0.5238
8,3,0.8287,2,3,1,2,0.28568
13,11,1.2558,5,3,2,1,0.87795
11,8,1.0295,5,5,4,1,0.3654
10,2,1.1191,4,5,3,2,0.67497
7,4,0.50423,2,4,1,4,0.14097
10,5,1.2,2,5,1,2,0.50947
12,4,0.9942,5,4,3,4,0.93133
13,2,1.183,4,3,2,4,0.73654
6,2,0.58147,5,2,4,3,0.25738
5,3,0.48304,5,2,3,2,0.080899
4,2,0.63849,4,3,1,5,0.1169
5,2,0.62173,2,2,1,3,0.035554
12,4,1.044,2,3,1,4,0.37864
13,3,1.2088,5,5,2,3,1.435
13,3,0.91719,3,4,2,2,1.1836
8,3,0.73602,3,4,2,2,0.38951
12,8,0.96429,3,5,2,5,0.097098
9,5,0.8573,3,3,1,3,0.33811
5,2,0.56942,5,3,3,1,0.13543
9,2,0.76167,5,2,1,3,0.018167
7,5,0.75847,3,5,1,1,0.65514
7,5,0.7557,3,4,1,4,0.095061
12,2,1.0922,3,2,1,3,0.34389
10,5,1.1086,4,3,2,1,0.55369
5,3,0.68223,4,5,3,5,0.12198
7,2,0.83863,2,3,1,3,0.099098
4,2,0.53537,2,2,1,5,0.18379
8,2,0.76688,2,3,1,3,0.14815
12,6,0.86179,3,5,1,3,0.89127
5,2,0.56722,5,3,3,4,0.2458
12,7,1.1353,5,5,2,5,0.77156
12,10,1.5806,4,5,1,1,0.42895
6,2,1.0245,5,4,2,5,1.6187
6,3,0.63618,5,3,3,5,0.14399
4,2,0.63982,3,3,2,5,0.13528
9,7,0.65477,5,3,1,3,0.38772
5,2,0.54569,4,2,2,4,0.15342
10,3,0.94698,5,2,4,1,0.37205
7,3,0.51133,2,5,1,3,0.42285
8,6,0.72498,4,5,3,4,0.3245
4,2,0.71527,2,3,1,1,0.11378
4,2,0.52568,5,5,3,3,0.22427
11,3,0.88745,2,4,1,1,0.33992
9,5,0.92227,2,3,1,3,0.1391
7,2,0.85861,3,2,2,2,0.097546
12,5,1.0054,4,2,3,5,2.0876
11,3,1.0745,4,2,3,5,0.11335
8,6,0.59268,3,2,1,5,0.32492
5,2,0.52788,5,3,2,2,0.10225
11,3,1.1813,3,3,1,4,0.38881
5,2,0.50134,3,4,2,1,0.17932
9,6,0.96682,2,2,1,2,0.59031
8,5,0.74344,3,3,1,4,0.52331
8,5,0.59657,3,5,1,2,0.2269
11,9,0.94322,4,4,2,5,0.31281
5,3,0.59319,5,3,3,3,0.15705
12,10,0.99562,2,2,1,4,1.6102
10,3,0.952,2,4,1,3,0.15889
11,5,1.1341,3,4,2,3,0.38644
4,2,0.6292,4,2,2,5,0.18442
4,2,0.49251,4,3,2,1,0.465
4,2,0.77509,4,5,2,2,0.13256
6,3,0.64466,5,4,1,1,0.24227
8,6,0.88592,3,3,1,3,0.72626
6,3,0.60637,2,3,1,3,0.49151
5,3,0.43449,2,3,1,2,0.10397
6,3,0.6427,5,5,4,5,0.2657
7,2,0.63,5,5,2,1,0.22367
4,2,0.69521,2,5,1,5,1.8233
6,2,0.54603,4,2,2,2,0.31871
11,3,0.96643,5,4,2,5,0.72421
4,2,0.63969,4,4,3,3,0.08278
5,2,0.56251,3,5,1,2,0.45132
13,7,1.0306,3,2,1,5,0.66703
8,2,0.71259,3,3,2,4,0.0
6,2,0.49353,3,4,1,4,0.21558
12,3,1.1384,3,2,2,1,0.46672
8,3,0.77123,4,5,1,1,0.4576
10,7,0.89832,2,3,1,5,0.23204
11,3,0.9911,3,4,2,3,0.51003
11,2,0.87727,4,5,3,3,0.13992
8,6,1.0054,2,3,1,3,0.33115
13,6,1.0947,2,5,1,3,0.55111
9,3,0.97846,4,4,3,1,0.2491
13,11,1.2301,4,4,3,5,0.78785
8,5,0.78489,2,2,1,4,0.2321
13,6,1.184,4,4,2,2,0.73434
8,2,0.83967,4,3,2,2,0.37911
8,2,0.76024,2,3,1,4,0.54158
13,5,1.7486,2,5,1,4,0.61958
4,2,0.5534,2,5,1,3,0.20115
8,5,0.65199,4,5,1,5,0.28591
9,5,0.95179,2,2,1,5,0.33788
10,4,1.2705,2,3,1,2,0.40002
5,2,0.56827,2,4,1,3,0.023272
12,4,0.95883,3,4,2,5,0.42745
9,6,1.0925,3,5,2,5,0.045801
10,5,0.98835,2,4,1,1,0.28493
4,2,0.47955,3,4,2,4,0.10786
10,7,0.99246,3,2,2,3,0.10679
8,6,0.67229,3,5,2,3,0.645
12,7,0.93509,5,3,2,1,0.35943
5,2,0.69858,3,5,1,1,0.32273
5,2,0.58835,3,4,1,2,0.11671
5,3,0.69678,3,4,2,4,0.37919
6,2,0.50195,4,5,2,5,0.26223
11,5,1.1984,5,2,4,4,0.72323
4,2,0.58514,2,2,1,2,0.1745
9,2,0.65882,3,2,2,2,0.14691
6,2,0.59757,3,2,2,1,0.0
10,4,0.92117,5,5,2,2,0.61552
9,3,0.63947,2,2,1,4,0.22508
11,2,0.79366,2,5,1,3,0.12602
9,6,0.97524,4,5,3,5,0.97694
9,4,0.84476,3,4,2,4,0.30492
6,4,0.49046,2,5,1,5,0.16937
7,4,0.78375,4,4,3,5,0.13291
12,10,1.8344,2,4,1,1,0.26625
12,9,1.1051,4,4,2,3,0.20865
4,2,0.6289,5,4,4,3,0.0
6,4,0.66331,5,2,3,4,0.071744
10,6,0.96694,5,2,4,2,0.3914
11,4,1.1872,5,2,2,3,0.35492
5,2,0.66961,2,2,1,3,0.10317
4,2,0.68513,5,2,4,2,0.15943
6,4,0.72365,3,3,1,1,0.31175
13,11,1.1324,3,5,2,1,1.6851
7,2,0.68168,2,2,1,3,0.58246
6,3,0.76768,5,4,1,5,0.17999
6,4,0.68716,2,3,1,2,0.39819
9,6,0.77041,4,5,3,3,1.6045
5,3,0.4785,4,4,1,4,0.12681
10,3,0.86764,3,5,2,3,2.4727
7,4,0.61299,4,5,1,1,0.38422
4,2,0.76126,3,3,2,1,0.42021
12,7,1.1692,5,4,1,5,1.0481
13,7,1.1809,4,3,3,3,0.42102
13,2,1.9067,4,2,3,1,0.45879
9,3,0.82946,5,2,4,3,1.5328
5,3,0.66044,5,4,2,3,0.062254
7,2,0.64088,4,3,3,5,0.33852
11,4,0.99847,5,4,3,2,0.54491
4,2,0.65234,2,3,1,2,0.15067
5,2,0.83292,3,5,2,2,0.16726
8,5,0.81238,3,5,1,4,0.74447
5,2,0.44138,2,3,1,5,0.52108
13,8,1.0449,3,4,1,1,0.7673
13,3,1.4345,5,3,1,5,0.76423
7,4,0.55094,5,2,4,3,0.0408
7,5,0.57535,2,3,1,2,1.0237
5,3,0.66204,5,5,1,5,0.17621
6,4,0.70519,2,2,1,5,0.27448
6,3,0.63162,4,4,3,1,0.0
12,9,1.088,3,2,1,2,1.4016
10,4,1.2317,4,3,1,1,0.13708
10,3,1.1306,3,3,1,5,0.60176
11,9,0.98918,2,2,1,2,0.20416
11,5,1.114,5,3,3,5,0.1612
4,2,0.64314,5,4,1,3,0.65645
5,3,0.63543,2,4,1,5,0.24135
5,2,0.67782,3,3,1,4,0.097869
13,9,1.0196,4,5,2,4,1.0789
11,3,0.92623,5,5,2,5,0.24526
